interval	flow_info	len	dscp	counts
2023-07-01 14:44:00	('TCP', '108.138.17.51', 443, '192.168.2.184', 51753)	1480	0	4624
2023-07-01 14:44:00	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	40	0	1811
2023-07-01 14:44:00	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	52	0	312
2023-07-01 14:44:00	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	60	0	9
2023-07-01 14:44:10	('TCP', '108.138.17.51', 443, '192.168.2.184', 51753)	1480	0	22951
2023-07-01 14:44:10	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	40	0	10422
2023-07-01 14:44:10	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	52	0	2262
2023-07-01 14:44:10	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	60	0	58
2023-07-01 14:44:10	('TCP', '192.168.2.184', 51176, '3.68.63.139', 443)	94	0	1
2023-07-01 14:44:20	('TCP', '108.138.17.51', 443, '192.168.2.184', 51753)	1480	0	30990
2023-07-01 14:44:20	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	40	0	14318
2023-07-01 14:44:20	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	52	0	2576
2023-07-01 14:44:20	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	60	0	62
2023-07-01 14:44:20	('TCP', '3.68.124.168', 443, '192.168.2.184', 51743)	277	0	1
2023-07-01 14:44:20	('TCP', '192.168.2.184', 51176, '3.68.63.139', 443)	40	0	1
2023-07-01 14:44:20	('TCP', '192.168.2.184', 51176, '3.68.63.139', 443)	96	0	1
2023-07-01 14:44:20	('TCP', '192.168.2.184', 51737, '3.68.124.168', 443)	75	0	1
2023-07-01 14:44:20	('TCP', '192.168.2.184', 51743, '3.68.124.168', 443)	75	0	1
2023-07-01 14:44:20	('TCP', '3.68.124.168', 443, '192.168.2.184', 51737)	40	0	1
2023-07-01 14:44:20	('TCP', '3.68.124.168', 443, '192.168.2.184', 51737)	271	0	1
2023-07-01 14:44:20	('TCP', '3.68.124.168', 443, '192.168.2.184', 51743)	40	0	1
2023-07-01 14:44:30	('TCP', '108.138.17.51', 443, '192.168.2.184', 51753)	1480	0	16419
2023-07-01 14:44:30	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	40	0	7613
2023-07-01 14:44:30	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	52	0	1478
2023-07-01 14:44:30	('TCP', '192.168.2.184', 51753, '108.138.17.51', 443)	60	0	36
2023-07-01 14:44:30	('TCP', '192.168.2.184', 51176, '3.68.63.139', 443)	40	0	2
2023-07-01 14:44:30	('TCP', '108.138.17.51', 443, '192.168.2.184', 51753)	824	0	1
2023-07-01 14:44:30	('TCP', '3.68.63.139', 443, '192.168.2.184', 51176)	1140	0	1
2023-07-01 14:44:40	('TCP', '3.68.63.139', 443, '192.168.2.184', 51176)	40	0	2
2023-07-01 14:44:40	('TCP', '192.168.2.184', 51176, '3.68.63.139', 443)	40	0	1
2023-07-01 14:44:40	('TCP', '192.168.2.184', 51176, '3.68.63.139', 443)	94	0	1
2023-07-01 14:44:40	('TCP', '192.168.2.184', 51176, '3.68.63.139', 443)	96	0	1
2023-07-01 14:44:40	('TCP', '3.68.63.139', 443, '192.168.2.184', 51176)	96	0	1
2023-07-01 14:44:50	('TCP', '35.174.225.168', 443, '192.168.2.184', 51116)	52	0	1
2023-07-01 14:44:50	('TCP', '3.68.63.139', 443, '192.168.2.184', 51176)	96	0	1
2023-07-01 14:44:50	('TCP', '3.68.63.139', 443, '192.168.2.184', 51176)	40	0	1
2023-07-01 14:44:50	('TCP', '192.168.2.184', 51116, '35.174.225.168', 443)	41	0	1
2023-07-01 14:44:50	('TCP', '192.168.2.184', 51176, '3.68.63.139', 443)	40	0	1
2023-07-01 14:44:50	('TCP', '192.168.2.184', 51176, '3.68.63.139', 443)	94	0	1
2023-07-01 14:45:00	('TCP', '192.168.2.184', 51176, '3.68.63.139', 443)	94	0	1
2023-07-01 14:45:00	('TCP', '192.168.2.184', 51176, '3.68.63.139', 443)	96	0	1
2023-07-01 14:45:00	('TCP', '192.168.2.184', 51737, '3.68.124.168', 443)	41	0	1
2023-07-01 14:45:00	('TCP', '192.168.2.184', 51743, '3.68.124.168', 443)	41	0	1
