interval	flow_info	len	dscp	counts
2023-06-26 20:59:10	('TCP', '172.17.13.130', 4583, '52.98.243.2', 443)	40	0	2
2023-06-26 20:59:10	('TCP', '52.98.243.2', 443, '172.17.13.130', 4583)	75	0	2
2023-06-26 20:59:10	('TCP', '172.17.13.130', 1076, '52.97.189.66', 443)	40	0	1
2023-06-26 20:59:10	('TCP', '52.98.243.2', 443, '172.17.13.130', 4629)	83	0	1
2023-06-26 20:59:10	('TCP', '52.98.243.2', 443, '172.17.13.130', 4583)	901	0	1
2023-06-26 20:59:10	('TCP', '52.98.243.2', 443, '172.17.13.130', 4583)	297	0	1
2023-06-26 20:59:10	('TCP', '52.97.189.66', 443, '172.17.13.130', 1076)	83	0	1
2023-06-26 20:59:10	('TCP', '172.17.13.130', 4629, '52.98.243.2', 443)	40	0	1
2023-06-26 20:59:30	('TCP', '52.98.243.2', 443, '172.17.13.130', 4629)	83	0	1
2023-06-26 20:59:30	('TCP', '52.97.189.66', 443, '172.17.13.130', 1076)	83	0	1
2023-06-26 20:59:30	('TCP', '172.17.13.130', 4629, '52.98.243.2', 443)	40	0	1
2023-06-26 20:59:30	('TCP', '172.17.13.130', 1076, '52.97.189.66', 443)	40	0	1
2023-06-26 20:59:40	('TCP', '52.97.189.66', 443, '172.17.13.130', 1076)	83	0	1
2023-06-26 20:59:40	('TCP', '172.17.13.130', 1076, '52.97.189.66', 443)	40	0	1
2023-06-26 20:59:50	('TCP', '52.98.243.2', 443, '172.17.13.130', 4629)	83	0	1
2023-06-26 20:59:50	('TCP', '172.17.13.130', 4629, '52.98.243.2', 443)	40	0	1
2023-06-26 21:00:00	('TCP', '40.99.157.2', 443, '172.17.13.130', 5162)	52	0	41
2023-06-26 21:00:00	('TCP', '172.17.13.130', 5162, '40.99.157.2', 443)	1492	0	25
2023-06-26 21:00:00	('TCP', '172.17.13.130', 5162, '40.99.157.2', 443)	40	0	9
2023-06-26 21:00:00	('TCP', '172.17.13.130', 5162, '40.99.157.2', 443)	164	0	8
2023-06-26 21:00:00	('TCP', '40.99.157.2', 443, '172.17.13.130', 5162)	40	0	8
2023-06-26 21:00:00	('TCP', '52.109.68.99', 443, '172.17.13.130', 5160)	52	0	7
2023-06-26 21:00:00	('TCP', '40.99.150.34', 443, '172.17.13.130', 5163)	52	0	7
2023-06-26 21:00:00	('TCP', '172.17.13.130', 5160, '52.109.68.99', 443)	1480	0	6
2023-06-26 21:00:00	('TCP', '52.109.68.99', 443, '172.17.13.130', 5161)	52	0	6
2023-06-26 21:00:00	('TCP', '52.97.189.66', 443, '172.17.13.130', 1076)	52	0	5
2023-06-26 21:00:00	('TCP', '40.99.157.2', 443, '172.17.13.130', 5162)	1341	0	5
2023-06-26 21:00:00	('TCP', '172.17.13.130', 5160, '52.109.68.99', 443)	40	0	5
2023-06-26 21:00:00	('TCP', '172.17.13.130', 5163, '40.99.150.34', 443)	40	0	5
2023-06-26 21:00:00	('TCP', '172.17.13.130', 5161, '52.109.68.99', 443)	1480	0	5
2023-06-26 21:00:00	('TCP', '172.17.13.130', 5163, '40.99.150.34', 443)	1492	0	4
2023-06-26 21:00:00	('TCP', '52.109.68.99', 443, '172.17.13.130', 5161)	1492	0	4
2023-06-26 21:00:00	('TCP', '52.109.68.99', 443, '172.17.13.130', 5160)	1492	0	4
2023-06-26 21:00:00	('TCP', '172.17.13.130', 1076, '52.97.189.66', 443)	1492	0	3
2023-06-26 21:00:00	('TCP', '172.17.13.130', 5161, '52.109.68.99', 443)	40	0	3
2023-06-26 21:00:00	('TCP', '172.17.13.130', 1076, '52.97.189.66', 443)	40	0	3
2023-06-26 21:00:00	('TCP', '40.99.150.34', 443, '172.17.13.130', 5163)	40	0	3
2023-06-26 21:00:00	('TCP', '52.109.68.99', 443, '172.17.13.130', 5160)	40	0	3
2023-06-26 21:00:00	('TCP', '40.99.150.34', 443, '172.17.13.130', 5163)	78	0	3
2023-06-26 21:00:00	('TCP', '52.109.68.99', 443, '172.17.13.130', 5161)	40	0	2
2023-06-26 21:00:00	('TCP', '40.99.157.2', 443, '172.17.13.130', 5162)	228	0	2
2023-06-26 21:00:00	('TCP', '40.99.157.2', 443, '172.17.13.130', 5162)	1342	0	2
